province,city_name,time,confirm,heal,dead
湖北省,武汉市,2019-12-08,1,0,0
湖北省,武汉市,2019-12-09,1,0,0
湖北省,武汉市,2019-12-10,2,0,0
湖北省,武汉市,2019-12-11,2,0,0
湖北省,武汉市,2019-12-12,2,0,0
湖北省,武汉市,2019-12-13,3,0,0
湖北省,武汉市,2019-12-14,3,0,0
湖北省,武汉市,2019-12-15,5,0,0
湖北省,武汉市,2019-12-16,6,0,0
湖北省,武汉市,2019-12-17,7,0,0
湖北省,武汉市,2019-12-18,7,0,0
湖北省,武汉市,2019-12-19,9,0,0
湖北省,武汉市,2019-12-20,13,0,0
湖北省,武汉市,2019-12-21,17,0,0
湖北省,武汉市,2019-12-22,20,0,0
湖北省,武汉市,2019-12-23,24,0,0
湖北省,武汉市,2019-12-24,24,0,0
湖北省,武汉市,2019-12-25,28,0,0
湖北省,武汉市,2019-12-26,29,0,0
湖北省,武汉市,2019-12-27,32,0,0
湖北省,武汉市,2019-12-28,34,0,0
湖北省,武汉市,2019-12-29,40,0,0
湖北省,武汉市,2019-12-30,45,0,0
湖北省,武汉市,2019-12-31,47,0,0
湖北省,武汉市,2020-01-01,57,0,0
湖北省,武汉市,2020-01-02,64,0,0
湖北省,武汉市,2020-01-03,77,0,0
湖北省,武汉市,2020-01-04,90,0,0
湖北省,武汉市,2020-01-05,105,0,0
湖北省,武汉市,2020-01-06,124,0,0
湖北省,武汉市,2020-01-07,155,0,0
湖北省,武汉市,2020-01-08,199,0,0
湖北省,武汉市,2020-01-09,231,0,0
湖北省,武汉市,2020-01-10,264,0,0
湖北省,武汉市,2020-01-11,297,2,1
湖北省,武汉市,2020-01-12,327,7,1
湖北省,武汉市,2020-01-13,349,7,1
湖北省,武汉市,2020-01-14,372,7,1
湖北省,武汉市,2020-01-15,395,12,1
湖北省,武汉市,2020-01-16,408,15,2
湖北省,武汉市,2020-01-17,414,19,2
湖北省,武汉市,2020-01-18,420,24,3
广东省,深圳市,2020-01-19,1,0,0
湖北省,武汉市,2020-01-19,422,25,4
北京市,北京市,2020-01-20,5,0,0
湖北省,黄冈市,2020-01-20,12,0,0
广东省,惠州市,2020-01-20,1,0,0
上海市,上海市,2020-01-20,1,0,0
广东省,深圳市,2020-01-20,9,0,0
湖北省,武汉市,2020-01-20,425,25,6
广东省,湛江市,2020-01-20,1,0,0
广东省,珠海市,2020-01-20,3,0,0
北京市,北京市,2020-01-21,10,0,0
四川省,成都市,2020-01-21,1,0,0
广东省,佛山市,2020-01-21,1,0,0
江西省,抚州市,2020-01-21,1,0,0
四川省,广安市,2020-01-21,1,0,0
广东省,广州市,2020-01-21,2,0,0
海南省,海口市,2020-01-21,1,0,0
浙江省,杭州市,2020-01-21,1,0,0
广东省,惠州市,2020-01-21,1,0,0
云南省,昆明市,2020-01-21,1,0,0
海南省,临高县,2020-01-21,1,0,0
江西省,萍乡市,2020-01-21,1,0,0
山东省,青岛市,2020-01-21,1,0,0
山东省,日照市,2020-01-21,0,0,0
海南省,三亚市,2020-01-21,1,0,0
上海市,上海市,2020-01-21,9,0,0
广东省,韶关市,2020-01-21,2,0,0
广东省,深圳市,2020-01-21,14,0,0
浙江省,台州市,2020-01-21,1,0,0
天津市,天津市,2020-01-21,2,0,0
海南省,万宁市,2020-01-21,1,0,0
浙江省,温州市,2020-01-21,2,0,0
湖北省,武汉市,2020-01-21,427,25,9
广东省,湛江市,2020-01-21,2,0,0
湖南省,长沙市,2020-01-21,1,0,0
河南省,郑州市,2020-01-21,1,0,0
重庆市,重庆市,2020-01-21,5,0,0
浙江省,舟山市,2020-01-21,1,0,0
广东省,珠海市,2020-01-21,4,0,0
澳门特别行政区,澳门特别行政区,2020-01-22,1,0,0
广西壮族自治区,北海市,2020-01-22,1,0,0
北京市,北京市,2020-01-22,14,0,0
四川省,成都市,2020-01-22,2,0,0
辽宁省,大连市,2020-01-22,1,0,0
广东省,佛山市,2020-01-22,1,0,0
福建省,福州市,2020-01-22,1,0,0
辽宁省,抚顺市,2020-01-22,0,0,0
四川省,广安市,2020-01-22,1,0,0
广东省,广州市,2020-01-22,5,0,0
贵州省,贵阳市,2020-01-22,1,0,0
海南省,海口市,2020-01-22,1,0,0
浙江省,杭州市,2020-01-22,6,0,0
安徽省,合肥市,2020-01-22,1,0,0
湖南省,怀化市,2020-01-22,3,0,0
湖北省,黄冈市,2020-01-22,12,0,0
浙江省,金华市,2020-01-22,1,0,0
湖北省,荆门市,2020-01-22,1,0,0
湖北省,荆州市,2020-01-22,6,0,0
海南省,临高县,2020-01-22,1,0,0
山东省,临沂市,2020-01-22,2,0,0
河南省,洛阳市,2020-01-22,1,0,0
四川省,绵阳市,2020-01-22,2,0,0
黑龙江省,牡丹江市,2020-01-22,1,0,0
江西省,南昌市,2020-01-22,1,0,0
浙江省,宁波市,2020-01-22,5,0,0
