city,population_2017
北京市,21707000
上海市,24183000
天津市,15569000
重庆市,30752000
合肥市,7965300
安庆市,4642900
蚌埠市,3376700
亳州市,5168800
池州市,1449300
滁州市,4076200
阜阳市,8092600
淮北市,2227900
淮南市,3487000
黄山市,1384400
六安市,4800300
马鞍山市,2301600
宿州市,5656900
铜陵市,1608000
芜湖市,3696200
宣城市,2613800
福州市,7660000
龙岩市,2640000
南平市,2680000
宁德市,2900000
莆田市,2900000
泉州市,8650000
三明市,2570000
厦门市,4010000
漳州市,5100000
兰州市,3729600
白银市,1729300
定西市,2808400
甘南藏族自治州,716200
嘉峪关市,249800
金昌市,469200
酒泉市,1123600
临夏回族自治州,2044100
陇南市,2623100
平凉市,2112800
庆阳市,2256600
天水市,3339800
武威市,1825300
张掖市,1229300
广州市,14498400
潮州市,2650800
东莞市,8342500
佛山市,7656700
河源市,3091100
惠州市,4777000
江门市,4561700
揭阳市,6086000
茂名市,6204100
梅州市,4374300
清远市,3860000
汕头市,5608200
汕尾市,2977600
韶关市,2979200
深圳市,12528300
阳江市,2542900
云浮市,2505400
湛江市,7305000
肇庆市,4115400
中山市,3260000
珠海市,1765400
南宁市,7153300
百色市,3646500
北海市,1663300
崇左市,2086800
防城港市,940200
桂林市,5057500
贵港市,4375400
河池市,3523500
贺州市,2056700
来宾市,2218600
柳州市,4000000
钦州市,3280000
梧州市,3037400
玉林市,5810800
贵阳市,4802000
安顺市,2344400
毕节市,6659700
六盘水市,2924100
铜仁市,3156900
遵义市,6248300
黔西南布依族苗族自治州,2860000
黔东南苗族侗族自治州,3523700
黔南布依族苗族自治州,3280900
海口市,2272100
白沙黎族自治县,172500
保亭黎族苗族自治县,151900
昌江黎族自治县,232000
儋州市,993300
澄迈县,490800
东方市,426200
定安县,294800
琼海市,510800
琼中黎族苗族自治县,178900
乐东黎族自治县,479100
临高县,448700
陵水黎族自治县,331500
三亚市,764200
屯昌县,266700
万宁市,573600
文昌市,563500
五指山市,106500
石家庄市,10879900
保定市,11690500
沧州市,7554900
承德市,3565000
邯郸市,9511100
衡水市,4460400
廊坊市,4741000
秦皇岛市,3110800
唐山市,7897000
邢台市,7351600
张家口市,4433100
郑州市,9880000
安阳市,5130000
鹤壁市,1620000
焦作市,3560000
开封市,4550000
洛阳市,6820000
漯河市,2650000
南阳市,10050000
平顶山市,5000000
濮阳市,3640000
三门峡市,2270000
商丘市,7300000
新乡市,5770000
信阳市,6450000
许昌市,4410000
周口市,8760000
驻马店市,7000000
哈尔滨市,10929000
大庆市,2904532
大兴安岭地区,511560
鹤岗市,1058665
黑河市,1673899
鸡西市,1862165
佳木斯市,2552097
牡丹江市,2798723
七台河市,920471
齐齐哈尔市,5367003
